"time","auc_roc","auc_emp","ci_roc_lower","ci_emp_lower","ci_roc_upper","ci_emp_upper","brier_dist","brier_pooled","n1","n2","n3","n4","n5","calibration_preds","calibration_truths","calibration_n","calibration_nas"
"2022-11-14 14:36:14",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-11-07 14:37:38",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-10-24 14:51:49",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-10-17 14:49:03",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-10-10 15:08:15",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-10-03 14:45:36",0.687451222208746,0.691852678571429,0.605064939587459,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-09-26 14:49:50",0.687451222208746,0.691852678571429,0.605064939587459,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-09-19 14:45:22",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-09-12 14:35:54",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-08-29 14:34:20",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-08-22 14:34:01",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-08-15 14:30:03",0.687451222208746,0.691852678571429,0.605064939587459,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-08-08 14:33:23",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-08-01 14:42:59",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-07-25 14:29:39",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-07-18 14:34:43",0.687451222208746,0.691852678571429,0.605064939587459,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-06-27 14:32:30",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-06-20 14:31:23",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-06-13 14:20:37",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-06-06 14:22:47",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-05-30 14:27:31",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-05-23 14:28:17",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-05-09 14:21:11",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-04-25 14:17:44",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-04-18 14:20:38",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-04-11 14:09:15",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-04-04 14:10:06",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-03-28 14:10:16",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-03-23 09:04:02",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-03-23 09:16:24",0.687451222208746,0.691852678571429,0.605064939587459,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-03-22 14:25:36",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-03-22 14:48:06",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-03-22 12:22:00",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-03-16 12:16:35",0.696135149493594,0.691852678571429,0.611877003286018,0.613149626392989,0.769006985549547,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
